Time,DWATT,CSGV,CTIM,TTXD1_1,TTXD1_2,TTXD1_3,TTXD1_4,TTXD1_5,TTXD1_6,TTXD1_7,TTXD1_8,TTXD1_9,TTXD1_10,TTXD1_11,TTXD1_12,TTXD1_13,TTXD1_14,TTXD1_15,TTXD1_16,TTXD1_17,TTXD1_18,TTXD1_19,TTXD1_20,TTXD1_21,TTXD1_22,TTXD1_23,TTXD1_24,TTXM,TTXSP1,TTXSP3,TTXSP2
#!Units,MW,na,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,naF,naF,naF,deg F,deg F,deg F,deg F
#!Description,Generator Watts Max Selected,IGV angle in deg,Compressor Inlet Temperature,Exhaust Thermocouple 1- Compensated,Exhaust Thermocouple 2- Compensated,Exhaust Thermocouple 3- Compensated,Exhaust Thermocouple 4- Compensated,Exhaust Thermocouple 5- Compensated,Exhaust Thermocouple 6 - Compensated,Exhaust Thermocouple 7 - Compensated,Exhaust Thermocouple 9 - Compensated,Exhaust Thermocouple 9 - Compensated,Exhaust Thermocouple 10  - Compensated,Exhaust Thermocouple 11 - Compensated,Exhaust Thermocouple 12 - Compensated,Exhaust Thermocouple 13 - Compensated,Exhaust Thermocouple 14 - Compensated,Exhaust Thermocouple 15 - Compensated,Exhaust Thermocouple 16 - Compensated,Exhaust Thermocouple 17 - Compensated,Exhaust Thermocouple 18 - Compensated,Exhaust Thermocouple 19 - Compensated,Exhaust Thermocouple 20 - Compensated,Exhaust Thermocouple 21 - Compensated,Exhaust Thermocouple 22 - Compensated,Exhaust Thermocouple 23 - Compensated,Exhaust Thermocouple 24 - Compensated,Exhaust Temp Median Corrected By Average,Combustion Monitor Actual Spread 1,Combustion Monitor Actual Spread 3,Combustion Monitor Actual Spread 2
2015/8/10 1:00,104.8349991,84.07073212,85.08463287,1053.561523,1051.689941,1056.680176,1036.934692,1045.401978,1068.67749,1050.593262,1053.30542,1060.94104,1060.458984,1046.545532,1048.087646,1045.706299,1039.95166,1061.091431,1057.69458,1054.960938,1041.969849,1041.040283,1040.862061,1059.866211,1048.872314,1051.034058,1054.831909,1051.725708,25.26466751,21.81358337,21.52654648
2015/8/10 2:00,104.5741882,84.07115173,85.73927307,1054.796997,1052.431519,1054.697754,1037.375977,1046.84314,1068.711182,1050.368896,1054.49231,1061.047974,1060.427246,1046.818237,1049.105957,1047.962158,1041.206421,1061.932739,1058.579468,1055.837769,1041.163818,1039.022583,1040.521484,1058.219604,1049.030396,1051.96582,1057.341187,1051.702271,24.85573959,21.34070778,21.03953743
2015/8/10 3:00,105.0242615,84.07157898,85.33931732,1054.843262,1050.57605,1054.088989,1035.118164,1047.393799,1069.538452,1050.85437,1052.254883,1061.154785,1060.395386,1047.090942,1048.523193,1046.828857,1039.858643,1060.084229,1055.760742,1055.714111,1040.667603,1039.408203,1040.478149,1058.210938,1049.016235,1050.692627,1055.632568,1051.678955,25.26777267,20.49321938,22.36805534
2015/8/10 4:00,104.9050827,84.0719986,85.49310303,1054.903076,1052.506592,1055.831665,1037.101074,1047.357544,1069.712891,1050.985718,1052.442993,1059.900513,1060.363647,1047.363647,1048.010742,1046.036987,1040.276855,1060.547852,1058.090942,1057.167603,1040.98584,1039.793945,1039.975464,1058.845337,1048.145752,1051.118042,1057.037354,1051.655518,25.72584915,20.90340805,21.54060936
2015/8/10 5:00,104.5095673,84.06494141,85.37689972,1054.04895,1052.389526,1054.153931,1036.720093,1048.790527,1069.213745,1055.192749,1051.849121,1060.559937,1062.193726,1048.410156,1050.143677,1046.174194,1040.78772,1062.153076,1057.652588,1056.631104,1041.116089,1041.2677,1041.346313,1060.366821,1048.999756,1054.203735,1056.728516,1052.830078,25.29162979,22.58674049,23.0965004
2015/8/10 6:00,104.8819656,84.07019043,84.96344757,1052.555664,1052.762451,1055.739014,1036.360718,1046.70166,1068.707886,1052.011108,1052.497437,1060.208862,1059.819946,1046.416504,1048.363281,1045.793335,1039.158203,1062.011108,1058.272827,1056.295898,1038.4552,1039.336548,1040.516479,1057.833374,1049.218018,1050.368286,1055.186035,1050.946777,25.81454659,20.95772552,21.81562042
2015/8/10 7:00,105.5507813,84.06371307,84.10189056,1053.296265,1050.360962,1053.720093,1036.127563,1046.825195,1067.537842,1051.163086,1053.129883,1060.587036,1059.772461,1044.619263,1047.064331,1046.147827,1040.221802,1061.333496,1057.140625,1054.612793,1039.950195,1039.982788,1041.249146,1057.935181,1048.204712,1051.089111,1055.14978,1050.447876,26.8501091,21.78149223,21.37238121
2015/8/10 8:00,105.1283722,84.06558228,84.43965912,1053.848999,1051.220947,1055.00293,1036.844116,1045.96167,1068.071777,1051.292725,1052.591553,1060.10083,1060.041626,1047.075806,1047.193726,1045.108521,1040.164307,1061.190796,1057.73584,1055.167236,1038.480957,1038.80542,1040.241943,1059.994263,1049.436035,1051.273926,1056.258301,1049.194702,24.90777969,21.20212936,21.47635269
2015/8/10 9:00,104.7024307,84.06687927,84.55609894,1052.71875,1050.358032,1054.551147,1034.530396,1045.786987,1069.575317,1050.255127,1051.114258,1059.625854,1059.10022,1048.841431,1047.395874,1047.376221,1039.574219,1061.95166,1057.846924,1058.055298,1039.664795,1038.18689,1039.900879,1058.595703,1047.407349,1051.785889,1055.449219,1050.729248,25.85778046,22.20106125,23.07578278
2015/8/10 10:00,102.8108826,75.64445496,81.99095917,1062.414795,1063.857666,1064.677124,1045.321167,1057.832031,1078.441895,1059.111328,1065.843628,1073.726685,1070.983521,1058.081665,1059.089844,1056.949219,1049.994385,1069.664795,1071.023438,1066.131592,1052.444214,1045.104126,1054.55481,1069.816895,1059.002808,1063.997559,1070.507324,1062.675171,30.73356628,25.47509766,28.41455078
